dataset,class,count,percentage,attack_category
training,normal,56000,31.93776697977085,
training,attack,119341,68.06223302022916,
training,attack_category,40000,22.81269069983632,Generic
training,attack_category,33393,19.044604513490853,Exploits
training,attack_category,18184,10.37064919214559,Fuzzers
training,attack_category,12264,6.994370968569815,DoS
training,attack_category,10491,5.983198453299571,Reconnaissance
training,attack_category,2000,1.1406345349918159,Analysis
training,attack_category,1746,0.9957739490478554,Backdoor
training,attack_category,1133,0.6461694640728637,Shellcode
training,attack_category,130,0.07414124477446804,Worms
testing,normal,37000,44.939999028324344,
testing,attack,45332,55.06000097167566,
testing,attack_category,18871,22.92061409901375,Generic
testing,attack_category,11132,13.520866734683961,Exploits
testing,attack_category,6062,7.362872273235194,Fuzzers
testing,attack_category,4089,4.9664771899140066,DoS
testing,attack_category,3496,4.246222610892484,Reconnaissance
testing,attack_category,677,0.8222805227615022,Analysis
testing,attack_category,583,0.7081086333381917,Backdoor
testing,attack_category,378,0.4591167468299082,Shellcode
testing,attack_category,44,0.053442161006655976,Worms
