timestamp,source_ip,dest_ip,user,host,event_type,status,port
2026-08-26T03:15:02,10.0.0.55,91.240.118.3,svc_backup,APP-SRV-05,outbound_conn,flagged,4444
2026-08-26T03:16:44,10.0.0.55,45.83.220.14,svc_backup,APP-SRV-05,outbound_conn,flagged,4444
2026-08-26T03:18:10,10.0.0.55,91.240.118.3,svc_backup,APP-SRV-05,outbound_conn,flagged,8443
2026-08-26T03:21:33,10.0.0.55,193.42.19.7,svc_backup,APP-SRV-05,outbound_conn,flagged,4444
2026-08-26T03:24:57,10.0.0.55,45.83.220.14,svc_backup,APP-SRV-05,outbound_conn,flagged,9001
2026-08-26T03:29:12,10.0.0.55,193.42.19.7,svc_backup,APP-SRV-05,outbound_conn,flagged,4444
2026-08-26T09:00:04,192.168.4.22,10.0.0.10,r.mehta,APP-SRV-05,api_request,success,443
2026-08-26T09:02:41,192.168.4.11,10.0.0.10,r.mehta,APP-SRV-05,api_request,success,443
2026-08-26T09:41:08,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
2026-08-26T09:41:12,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
2026-08-26T09:41:15,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
2026-08-26T09:41:19,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
2026-08-26T09:41:23,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
2026-08-26T09:41:27,45.83.220.14,10.0.0.7,,AUTH-GW-01,failed_login,failed,443
